IPC maingroup,Label
A47G-025,의복용 가정용구/홀더
A47G-027,마루용 직물
A47G-029,기타 가정용 보조용품
A47G-003,못/나사 탈착헤드
A47G-033,종교용구
A47G-035,기타 가정용구
A47G-005,스크린
A47G-007,꽃 받침
A47G-009,이불/담요/침낭/베게
A47H-001,커튼 현수장치
A47H-011,커튼끈 부속품
A47H-013,커튼봉/레일 부착방법
A47H-015,커튼 레일 지지용 굴대/글라이더
A47H-019,커튼 지지 걸이
A47H-002,커튼 장식덮개
A47H-021,커튼보호 프레임
A47H-023,커튼/수막
A47H-027,꽃지지용 상자/지지구
A47H-003,커튼 끈 고정/유도장치
A47H-033,기차 창문/문 부대설비
A47H-005,수막/커튼 풀다운장치
A47H-007,커튼봉 리프팅/이동장치
A47H-099,기타 창문/문/커튼 관련물품
A47J-017,주방 박피기구/기계/장치
A47J-019,가정용 식료품 여과기계
A47J-021,가정용 과실줄기 제거장치
A47J-023,가정용 과실씨 추출장치
A47J-025,가정용 과실심 추출장치
A47J-027,가정용 가열조리용기
A47J-029,알 가열 조리기
A47J-031,음료 제조장치
A47J-033,캠프용 가열조리장치
A47J-036,조리용기용 부품/세부/부속구
A47J-037,베이킹/그릴/로스팅 방법
A47J-039,조리용기 보관용 식기선반
A47J-041,단열용기
A47J-042,커피/향신료 분쇄기구
A47J-043,기타 식품 조제/보관기구
A47J-044,다목적 식품조리기구
A47J-045,조리용구 고정도구/집기도구
A47J-047,기타 부엌 용기/받침대
A47J-009,버터 성형장치
A47K-001,세면기/세면용 부속품
A47K-010,신체 건조용구/화장지/지지구
A47K-011,수세장치 부재 변기
A47K-013,변소용 시트/커버
A47K-017,기타 화장실 설비
A47K-003,욕조/샤워기
A47K-004,기타 욕조/샤워기 조합방법
A47K-005,비누/치약 지지구/분배기
A47K-007,신체  세정용구
A47L-001,창문청소용품
A47L-011,마루/카펫/벽 청소기계
A47L-013,마루/카펫/가구 청소용구
A47L-015,그릇세정기계
A47L-017,조리용기 세정장치/도구
A47L-019,자기/식탁용 기구
A47L-021,식탁용 기구
A47L-023,신발청소도구
A47L-025,기타 가정용 청소장치
A47L-003,창문청소용 안전장치
A47L-004,블라인드/차양 청소도구
A47L-005,흡입청소기 
A47L-007,부가목적 흡입청소기
A47L-009,흡입청소기 부품
A61B-001,인체 내부 진단기기
A61B-010,기타 진단기기
A61B-013,혀누르개
A61B-016,생체해부 용구
A61B-017,수술용 기기
A61B-018,비기계적 에너지 전달용 수술기기/방법
A61B-019,기타 수술/진단 보조구
A61B-003,눈 검사장치
A61B-034,컴퓨터 지원 수술
A61B-042,수술용 장갑 및 처리 용구
A61B-046,수술용 덮개
A61B-005,진단용 측정
A61B-050,수술/진단 기기
A61B-006,진단용 방사선 기기
A61B-007,청진기기
A61B-008,초음파 진단
A61B-009,타진 진찰기기
A61B-090,수술/진단 특화 기타 기구 
A61C-001,절삭용 치과기계
A61C-011,치과용 교합기
A61C-013,치과용 보철물
A61C-015,치간 청소용구
A61C-017,치아 구멍 세척용구
